0	2774	-1
1	1071	0
1	1817	0
1	3150	0
1	3530	0
1	1681	0
1	2989	0
1	265	0
2	3141	1
2	38	1
2	2774	1
2	3391	1
2	1451	1
2	541	1
2	29	1
2	525	1
2	2409	1
2	2986	1
2	2484	1
2	2661	1
2	937	1
2	458	1
3	156	-1
3	3141	-1
3	2774	-1
4	156	-1
4	3141	-1
5	3390	-1
5	3465	-1
5	3008	-1
6	3390	-1
6	3394	-1
8	3390	-1
9	2774	0
9	3395	0
10	772	-1
11	1211	-1
12	3008	-1
12	2017	-1
13	3575	1
13	2997	1
13	2323	1
13	2410	1
13	3307	1
13	2181	1
13	1353	1
13	902	1
13	3115	1
13	2161	1
13	2119	1
14	2174	-1
15	39	-1
16	3014	-1
17	2433	0
18	1930	1
18	942	1
18	3304	1
18	276	1
19	1024	-1
20	160	1
20	276	1
21	2901	-1
22	905	-1
23	2641	-1
23	3391	-1
23	3534	-1
24	404	-1
24	1759	-1
24	133	-1
24	3497	-1
24	136	-1
24	283	-1
24	3599	-1
24	2648	-1
24	366	-1
24	1255	-1
24	552	-1
24	1706	-1
24	902	-1
24	2636	-1
24	1280	-1
24	2935	-1
24	161	-1
25	2594	0
25	149	0
25	1706	0
25	2247	0
25	3385	0
27	2430	-1
27	3191	-1
27	2117	-1
27	1457	-1
27	1160	-1
28	2040	0
28	1415	0
28	1803	0
28	1206	0
28	3146	0
28	1703	0
28	1616	0
28	3639	0
29	1069	-1
29	799	-1
29	3393	-1
29	3683	-1
30	1666	-1
30	2891	-1
30	812	-1
30	1946	-1
30	1206	-1
30	796	-1
30	1331	-1
30	3150	-1
30	1882	-1
30	2569	-1
30	43	-1
30	2017	-1
31	3225	-1
31	161	-1
31	2435	-1
31	3149	-1
31	3497	-1
31	281	-1
31	1671	-1
31	1323	-1
31	284	-1
31	2438	-1
31	3636	-1
31	2984	-1
31	3638	-1
31	41	-1
31	43	-1
31	49	-1
31	3331	-1
31	3113	-1
31	445	-1
31	3643	-1
31	1419	-1
31	3639	-1
31	2507	-1
31	229	-1
31	956	-1
31	221	-1
31	47	-1
31	1995	-1
31	1883	-1
31	3535	-1
31	2437	-1
31	3008	-1
31	2141	-1
31	1002	-1
31	3144	-1
31	3145	-1
31	3013	-1
31	2245	-1
31	2247	-1
31	3150	-1
31	1701	-1
31	1702	-1
31	771	-1
31	1706	-1
31	2636	-1
31	1672	-1
31	2019	-1
31	3111	-1
31	2186	-1
31	3446	-1
31	1034	-1
31	3753	-1
31	2025	-1
31	3014	-1
31	3391	-1
31	3096	-1
31	1060	-1
31	1329	-1
31	3397	-1
31	2985	-1
31	2648	-1
31	2723	-1
31	1290	-1
31	3299	-1
31	2933	-1
31	1518	-1
31	3514	-1
32	3390	-1
32	3392	-1
32	3393	-1
32	3011	-1
32	3631	-1
32	3150	-1
32	1701	-1
32	3633	-1
32	1121	-1
33	3390	-1
33	3391	-1
33	1037	-1
33	3145	-1
33	2246	-1
33	935	-1
33	2000	-1
33	1292	-1
